source_rowid,planet_name,host_name,pl_orbper_days,pl_orbsmax_au,st_mass_solar,source_snapshot,source_url
1,11 Com b,11 Com,326.03,1.29,2.7,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
2,11 UMi b,11 UMi,516.22,1.54,1.8,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
3,14 And b,14 And,185.84,0.83,2.2,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
4,14 Her b,14 Her,1773.4,2.77,0.9,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
5,16 Cyg B b,16 Cyg B,798.5,1.681,0.99,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
6,18 Del b,18 Del,993.3,2.6,2.3,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
8,24 Sex b,24 Sex,452.8,1.333,1.54,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
9,24 Sex c,24 Sex,883,2.08,1.54,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
14,2MASS J19383260+4603591 b,2MASS J19383260+4603591,416,0.92,0.48,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
17,30 Ari B b,30 Ari B,335.1,0.995,1.16,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
18,4 UMa b,4 UMa,269.3,0.87,1.23,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
19,42 Dra b,42 Dra,479.1,1.19,0.98,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
20,47 UMa b,47 UMa,1078,2.1,1.03,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
21,47 UMa c,47 UMa,2391,3.6,1.03,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
22,47 UMa d,47 UMa,14002,11.6,1.03,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
24,51 Peg b,51 Peg,4.230785,0.0527,1.12,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
25,55 Cnc b,55 Cnc,14.65152,0.115227,0.91,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
26,55 Cnc c,55 Cnc,44.4175,0.241376,0.91,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
27,55 Cnc d,55 Cnc,4825,5.503,0.91,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
28,55 Cnc e,55 Cnc,0.736539,0.01544,0.91,NASA Exoplanet Archive confirmed planets export 2018-03-03,https://gist.github.com/cbt1/413352aab683447731537c4fa85aa0b8
