condition_id,stage,x_R,z_R,budget_R,x_V,z_V,budget_V,x_M,z_M,budget_M,x_W,z_W,budget_W,x_E,z_E,budget_E
C000,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,-1,0.0,0,-1,0.0,0,-1,0.0,0
C001,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,-1,0.0,0,-1,0.0,0,1,2.0,6
C002,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,-1,0.0,0,1,2.0,12,-1,0.0,0
C003,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,-1,0.0,0,1,2.0,12,1,2.0,6
C004,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,1,2.0,98304,-1,0.0,0,-1,0.0,0
C005,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,1,2.0,98304,-1,0.0,0,1,2.0,6
C006,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,1,2.0,98304,1,2.0,12,-1,0.0,0
C007,A_FULL_FACTORIAL,-1,0.0,0,-1,0.0,0,1,2.0,98304,1,2.0,12,1,2.0,6
C008,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,-1,0.0,0,-1,0.0,0,-1,0.0,0
C009,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,-1,0.0,0,-1,0.0,0,1,2.0,6
C010,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,-1,0.0,0,1,2.0,12,-1,0.0,0
C011,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,-1,0.0,0,1,2.0,12,1,2.0,6
C012,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,1,2.0,98304,-1,0.0,0,-1,0.0,0
C013,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,1,2.0,98304,-1,0.0,0,1,2.0,6
C014,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,1,2.0,98304,1,2.0,12,-1,0.0,0
C015,A_FULL_FACTORIAL,-1,0.0,0,1,2.0,12,1,2.0,98304,1,2.0,12,1,2.0,6
C016,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,-1,0.0,0,-1,0.0,0,-1,0.0,0
C017,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,-1,0.0,0,-1,0.0,0,1,2.0,6
C018,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,-1,0.0,0,1,2.0,12,-1,0.0,0
C019,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,-1,0.0,0,1,2.0,12,1,2.0,6
C020,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,1,2.0,98304,-1,0.0,0,-1,0.0,0
C021,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,1,2.0,98304,-1,0.0,0,1,2.0,6
C022,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,1,2.0,98304,1,2.0,12,-1,0.0,0
C023,A_FULL_FACTORIAL,1,2.0,24,-1,0.0,0,1,2.0,98304,1,2.0,12,1,2.0,6
C024,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,-1,0.0,0,-1,0.0,0,-1,0.0,0
C025,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,-1,0.0,0,-1,0.0,0,1,2.0,6
C026,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,-1,0.0,0,1,2.0,12,-1,0.0,0
C027,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,-1,0.0,0,1,2.0,12,1,2.0,6
C028,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,1,2.0,98304,-1,0.0,0,-1,0.0,0
C029,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,1,2.0,98304,-1,0.0,0,1,2.0,6
C030,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,1,2.0,98304,1,2.0,12,-1,0.0,0
C031,A_FULL_FACTORIAL,1,2.0,24,1,2.0,12,1,2.0,98304,1,2.0,12,1,2.0,6
C032,B_AXIAL,-1,0.0,0,0,1.0,4,0,1.0,32768,0,1.0,4,0,1.0,2
C033,B_AXIAL,1,2.0,24,0,1.0,4,0,1.0,32768,0,1.0,4,0,1.0,2
C034,B_AXIAL,0,1.0,8,-1,0.0,0,0,1.0,32768,0,1.0,4,0,1.0,2
C035,B_AXIAL,0,1.0,8,1,2.0,12,0,1.0,32768,0,1.0,4,0,1.0,2
C036,B_AXIAL,0,1.0,8,0,1.0,4,-1,0.0,0,0,1.0,4,0,1.0,2
C037,B_AXIAL,0,1.0,8,0,1.0,4,1,2.0,98304,0,1.0,4,0,1.0,2
C038,B_AXIAL,0,1.0,8,0,1.0,4,0,1.0,32768,-1,0.0,0,0,1.0,2
C039,B_AXIAL,0,1.0,8,0,1.0,4,0,1.0,32768,1,2.0,12,0,1.0,2
C040,B_AXIAL,0,1.0,8,0,1.0,4,0,1.0,32768,0,1.0,4,-1,0.0,0
C041,B_AXIAL,0,1.0,8,0,1.0,4,0,1.0,32768,0,1.0,4,1,2.0,6
