run_id,model_scale_id,condition_id,task_regime,P_active,baseline_score,intervention_score,metric,seed,status,notes
SMALL-C000,SMALL,C000,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C000,SMALL,C000,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C000,SMALL,C000,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
SMALL-C000,SMALL,C000,mixed_open_ended,,,,bounded_higher_is_better,,PENDING,
SMALL-C001,SMALL,C001,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C001,SMALL,C001,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C001,SMALL,C001,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
SMALL-C001,SMALL,C001,mixed_open_ended,,,,bounded_higher_is_better,,PENDING,
SMALL-C002,SMALL,C002,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C002,SMALL,C002,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C002,SMALL,C002,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
SMALL-C002,SMALL,C002,mixed_open_ended,,,,bounded_higher_is_better,,PENDING,
SMALL-C003,SMALL,C003,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C003,SMALL,C003,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C003,SMALL,C003,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
SMALL-C003,SMALL,C003,mixed_open_ended,,,,bounded_higher_is_better,,PENDING,
SMALL-C004,SMALL,C004,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C004,SMALL,C004,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C004,SMALL,C004,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
SMALL-C004,SMALL,C004,mixed_open_ended,,,,bounded_higher_is_better,,PENDING,
SMALL-C005,SMALL,C005,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C005,SMALL,C005,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C005,SMALL,C005,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
SMALL-C005,SMALL,C005,mixed_open_ended,,,,bounded_higher_is_better,,PENDING,
SMALL-C006,SMALL,C006,reasoning_verification,,,,bounded_higher_is_better,,PENDING,
SMALL-C006,SMALL,C006,memory_long_horizon,,,,bounded_higher_is_better,,PENDING,
SMALL-C006,SMALL,C006,agentic_world_information,,,,bounded_higher_is_better,,PENDING,
