run_id,model_scale_id,condition_id,stage,p_code,budget_R,z_R,budget_V,z_V,budget_M,z_M,budget_W,z_W,budget_E,z_E
SMALL-C000,SMALL,C000,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
SMALL-C001,SMALL,C001,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,0,0.0,0,0.0,6,2.0
SMALL-C002,SMALL,C002,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,0,0.0,12,2.0,0,0.0
SMALL-C003,SMALL,C003,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,0,0.0,12,2.0,6,2.0
SMALL-C004,SMALL,C004,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,98304,2.0,0,0.0,0,0.0
SMALL-C005,SMALL,C005,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,98304,2.0,0,0.0,6,2.0
SMALL-C006,SMALL,C006,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,98304,2.0,12,2.0,0,0.0
SMALL-C007,SMALL,C007,A_FULL_FACTORIAL,-1,0,0.0,0,0.0,98304,2.0,12,2.0,6,2.0
SMALL-C008,SMALL,C008,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,0,0.0,0,0.0,0,0.0
SMALL-C009,SMALL,C009,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,0,0.0,0,0.0,6,2.0
SMALL-C010,SMALL,C010,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,0,0.0,12,2.0,0,0.0
SMALL-C011,SMALL,C011,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,0,0.0,12,2.0,6,2.0
SMALL-C012,SMALL,C012,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,98304,2.0,0,0.0,0,0.0
SMALL-C013,SMALL,C013,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,98304,2.0,0,0.0,6,2.0
SMALL-C014,SMALL,C014,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,98304,2.0,12,2.0,0,0.0
SMALL-C015,SMALL,C015,A_FULL_FACTORIAL,-1,0,0.0,12,2.0,98304,2.0,12,2.0,6,2.0
SMALL-C016,SMALL,C016,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,0,0.0,0,0.0,0,0.0
SMALL-C017,SMALL,C017,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,0,0.0,0,0.0,6,2.0
SMALL-C018,SMALL,C018,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,0,0.0,12,2.0,0,0.0
SMALL-C019,SMALL,C019,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,0,0.0,12,2.0,6,2.0
SMALL-C020,SMALL,C020,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,98304,2.0,0,0.0,0,0.0
SMALL-C021,SMALL,C021,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,98304,2.0,0,0.0,6,2.0
SMALL-C022,SMALL,C022,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,98304,2.0,12,2.0,0,0.0
SMALL-C023,SMALL,C023,A_FULL_FACTORIAL,-1,24,2.0,0,0.0,98304,2.0,12,2.0,6,2.0
SMALL-C024,SMALL,C024,A_FULL_FACTORIAL,-1,24,2.0,12,2.0,0,0.0,0,0.0,0,0.0
SMALL-C025,SMALL,C025,A_FULL_FACTORIAL,-1,24,2.0,12,2.0,0,0.0,0,0.0,6,2.0
SMALL-C026,SMALL,C026,A_FULL_FACTORIAL,-1,24,2.0,12,2.0,0,0.0,12,2.0,0,0.0
SMALL-C027,SMALL,C027,A_FULL_FACTORIAL,-1,24,2.0,12,2.0,0,0.0,12,2.0,6,2.0
SMALL-C028,SMALL,C028,A_FULL_FACTORIAL,-1,24,2.0,12,2.0,98304,2.0,0,0.0,0,0.0
